X,theta_star_deg,argV_deg,delta_star_vs_argV_deg,delta_star_vs_peak_deg,absV,ZV,peak_deg_sigma_0.05,maxZ_sigma_0.05,peak_deg_sigma_0.1,maxZ_sigma_0.1,peak_deg_sigma_0.2,maxZ_sigma_0.2,gamma_standard,gamma_optimized
1000000,257.58679692733466,77.58679692733463,180.0,99.86157720077219,0.9099595397558317,0.5615545222817964,157.7252197265625,3.1553006289729106,153.369140625,2.926228577479994,146.6619873046875,2.59726066942799,2.94151036042339,3.8514699001792216
3000000,257.58679692733466,77.58679692733463,180.0,99.86157720077219,0.9099595397558317,0.55354713866755,157.7252197265625,3.1553006289729106,153.369140625,2.926228577479994,146.6619873046875,2.59726066942799,3.0180270520360226,3.9279865917918544
10000000,260.22619150837215,80.22619150837215,180.0,62.83483408649718,0.8991116981185096,0.5392569291795218,197.391357421875,3.157917946523707,193.062744140625,2.9295221829646234,186.3720703125,2.599713625082529,3.0956610434271306,3.99477274154564
30000000,262.06764855730125,82.06764855730127,180.0,1.7026583229262826,0.8430320765330098,0.49973041705226445,260.364990234375,3.1638049286657592,256.036376953125,2.9338136958610863,249.3511962890625,2.6026389397412353,3.1615987552989573,4.004630831831967
100000000,259.2131727265989,79.21317272659887,180.0,70.14046496871362,0.7942402150887914,0.4653141941867118,329.3536376953125,3.167755885249262,325.01953125,2.9376346971167675,318.350830078125,2.6056633137620593,3.2291924387236026,4.023432653812394
300000000,255.5046330168164,75.50463301681641,180.0,136.79517167068363,0.8123843908966779,0.471281904813164,32.2998046875,3.171948974266841,27.9766845703125,2.941449199668067,21.3189697265625,2.6080606746796438,3.287121814710399,4.099506205607077
1000000000,255.31072961386786,75.31072961386788,180.0,154.02227746543036,0.8686152249501435,0.4989029320509691,101.2884521484375,3.1758908845945806,96.96533203125,2.944464400349965,90.318603515625,2.6103610618444915,3.3469754746150038,4.215590699565148
3000000000,258.1283990038169,78.12839900381697,180.0,93.89377986319198,0.8917983372286048,0.5079091306501229,164.234619140625,3.179240242418859,159.9224853515625,2.9471428622300846,153.2757568359375,2.6122615016126454,3.3986315023319142,4.290429839560519
10000000000,260.8314244295936,80.83142442959358,180.0,27.613650992093568,0.8628161660582631,0.4871778005510246,233.21777343750003,3.182402640228663,228.9111328125,2.9496949967318105,222.275390625,2.6141015210532106,3.452335990293807,4.31515215635207
